	fuel_cooking	fuel_cooking_Electricity_Gas	fuel_cooking_Paraffin_Stove	fuel_cooking_Open_fires_inside	fuel_cooking_Open_fires_outside	fuel_heating	fuel_heating_Electricity	fuel_heating_Gas	fuel_cooking_heating_Paraffin	fuel_heating_Wood_Coal	fuel_heating_Other
27	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
28	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
29	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
30	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
31	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
32	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
33	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
34	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
35	1	1.0	0.0	0.0	0.0	2	0.0	1.0	0.0	0.0	0.0
36	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
37	1	1.0	0.0	0.0	0.0	2	0.0	1.0	0.0	0.0	0.0
38	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
39	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
40	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
41	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
42	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44	1	1.0	0.0	0.0	0.0	1;3	1.0	0.0	1.0	0.0	0.0
45	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
46	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
47	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
48	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
49	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
50	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
51	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
52	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
53	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
54	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
55	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
56	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
57	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
58	1;4	1.0	0.0	0.0	1.0	5	0.0	0.0	0.0	0.0	1.0
59	1;4	1.0	0.0	0.0	1.0	1	1.0	0.0	0.0	0.0	0.0
60	1;4	1.0	0.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
61	1;4	1.0	0.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
62	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
63	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
64	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
65	1;4	1.0	0.0	0.0	1.0	1	1.0	0.0	0.0	0.0	0.0
66	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
67	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
68	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
69	1;4	1.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
70	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
71	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
